,perdicted_return,acutal_return,error
0,2.5114587816198623e-05,0,2.5114587816198623e-05
1,5.071270987387063e-05,0,5.071270987387063e-05
2,5.071270987387063e-05,0,5.071270987387063e-05
3,5.071270987387063e-05,0,5.071270987387063e-05
4,5.071270987387063e-05,0,5.071270987387063e-05
5,5.071270987387063e-05,0,5.071270987387063e-05
6,5.071270987387063e-05,0,5.071270987387063e-05
7,5.071270987387063e-05,0,5.071270987387063e-05
8,5.071270987387063e-05,0,5.071270987387063e-05
9,5.071270987387063e-05,0,5.071270987387063e-05
