,perdicted_return,acutal_return,error
0,-0.00010056558776139202,0.0,-0.00010056558776139202
1,-0.00014491402186966873,-0.0005254693250987,0.00038055530322903127
2,-0.0001953592855208769,-0.000597948088485,0.0004025888029641231
3,-0.0001683316080983155,0.0003206276080133,-0.0004889592161116155
4,-0.00018614203140875085,-0.0002112293837988,2.508735239004916e-05
5,-0.0002127280487384392,-0.0003153654327973,0.00010263738405886082
6,-0.00023472464162478668,-0.0002608680292422,2.614338761741333e-05
7,-0.00021804717246565186,0.0001978293068788,-0.00041587647934445185
8,-0.0002204282964446136,-2.8176108724e-05,-0.0001922521877206136
9,-0.00023342846526526462,-0.0001542496290397,-7.917883622556463e-05
