,perdicted_return,acutal_return,error
0,-8.3830404e-05,0.0,-8.383040403714404e-05
1,-8.3830404e-05,0.000342553747991,-0.000426384152028144
2,-8.3830404e-05,0.0005637899948858,-0.0006476203989229441
3,-8.3830404e-05,-0.0003643274525406,0.00028049704850345597
4,-8.3830404e-05,0.0003272651117857,-0.000411095515822844
5,-8.3830404e-05,0.0002072443229587,-0.00029107472699584406
6,-8.3830404e-05,-1.36629053188e-05,-7.016749871834404e-05
7,-8.3830404e-05,-0.0003503897512705,0.000266559347233356
8,-8.3830404e-05,0.0001702144078553,-0.00025404481189244404
9,-8.3830404e-05,0.0004625300977065,-0.0005463605017436441
