,Mean,Max,Min,VOL,FD,r
0,1.345577583333334,1.3461,1.3451,0.001000000000000112,,0.0
1,1.3458818194444424,1.3464,1.3454,0.001000000000000112,223999.99999997494,0.00022610075767956326
2,1.3459152500000005,1.3466,1.3455,0.001100000000000101,237272.7272727055,2.483914640577027e-05
3,1.3457141527777805,1.3463,1.3451,0.0012000000000000899,225833.3333333164,-0.00014941299032011712
4,1.3457354027777786,1.3463,1.3452,0.001100000000000101,203636.36363634496,1.5790872046802604e-05
5,1.3456126944444455,1.3461,1.3452,0.0009000000000001229,266666.66666663025,-9.118310559398844e-05
6,1.3453435833333351,1.3459,1.3449,0.001000000000000112,362999.9999999594,-0.00019999150737909276
7,1.3453443750000007,1.3459,1.3449,0.001000000000000112,270999.9999999697,5.884494305867797e-07
8,1.3450701805555543,1.3456,1.3447,0.0008999999999999009,382222.22222226433,-0.00020380985682303784
9,1.345092250000001,1.3456,1.3447,0.0008999999999999009,330000.0000000363,1.6407652749918805e-05
10,1.3448282638888887,1.3455,1.3443,0.0011999999999998678,252500.00000002782,-0.00019625874070157358
11,1.3443873333333332,1.3448,1.3439,0.0008999999999999009,260000.00000002864,-0.00032787127352636213
12,1.3441679027777782,1.3446,1.3437,0.0009000000000001229,353333.33333328506,-0.00016321974338369437
13,1.3439219027777798,1.3444,1.34356,0.0008399999999999519,355952.3809524013,-0.0001830128509169465
14,1.3437808750000015,1.3443,1.3434,0.0009000000000001229,295555.55555551517,-0.00010493747998805085
15,1.3440708333333373,1.3445,1.3437,0.0008000000000001339,373749.9999999374,0.00021577798786262837
16,1.344302319444443,1.3449,1.3438,0.0010999999999998789,358181.81818185764,0.0001722276128346528
17,1.3445450000000005,1.3451,1.344,0.0010999999999998789,234545.45454548037,0.00018052528218342404
18,1.3444755972222224,1.3452,1.3439,0.0012999999999998568,189230.76923079006,-5.161804013857167e-05
19,1.3443570277777754,1.3448,1.3438,0.0009999999999998899,217000.0000000239,-8.819010526629455e-05
20,1.343703388888888,1.3444,1.3432,0.0012000000000000899,266666.6666666467,-0.00048620929959940093
21,1.3438075416666657,1.3444,1.3432,0.0012000000000000899,158333.33333332147,7.751173260325577e-05
22,1.344108916666667,1.3447,1.3435,0.0012000000000000899,226666.6666666497,0.00022426946616745295
23,1.344232152777778,1.3448,1.3439,0.0008999999999999009,258888.8888889174,9.16861048854587e-05
24,1.3442888194444453,1.3448,1.3439,0.0008999999999999009,273333.33333336347,4.21554167932686e-05
25,1.3442143749999997,1.3447,1.3438,0.0008999999999999009,264444.44444447354,-5.537831109564979e-05
26,1.344549916666668,1.3452,1.34405,0.0011499999999999844,316521.73913043906,0.00024961916261917667
27,1.344277541666666,1.3448,1.3438,0.0009999999999998899,247000.0000000272,-0.00020257708295222425
28,1.3445747222222224,1.3451,1.344,0.0010999999999998789,280909.09090912185,0.00022107083273000788
29,1.345184236111113,1.3458,1.3447,0.001100000000000101,319999.99999997066,0.0004533135115639169
30,1.344770361111111,1.3456,1.3439,0.0016999999999998128,208823.5294117877,-0.0003076716102461225
31,1.3441075416666683,1.3446,1.3438,0.0007999999999999119,190000.00000002093,-0.0004928867140520811
32,1.3439653749999998,1.3446,1.3434,0.0012000000000000899,299999.99999997753,-0.00010577030651302559
33,1.3437606805555558,1.3444,1.3433,0.001100000000000101,225454.54545452478,-0.000152306337835558
34,1.3434043611111102,1.3441,1.34277,0.0013300000000000534,219548.87218044233,-0.000265165851034033
35,1.3431751249999995,1.3438,1.34274,0.001060000000000061,192452.8301886682,-0.00017063820674297937
36,1.343110847222221,1.3437,1.3426,0.0010999999999998789,342727.2727273105,-4.785509840230159e-05
37,1.343311013888888,1.3438,1.3428,0.001000000000000112,339999.99999996193,0.0001490321272297579
38,1.3434612222222229,1.3442,1.3428,0.0014000000000000679,204999.99999999008,0.00011181947574452385
39,1.3440301805555575,1.3446,1.3437,0.0009000000000001229,275555.5555555179,0.00042350186512527313
