,Mean,Max,Min,VOL,FD,r
0,1.164140805555555,1.1646,1.1636,0.001000000000000112,,0.0
1,1.164130763888889,1.1647,1.1636,0.001100000000000101,204545.4545454358,-8.62581795798385e-06
2,1.164007513888887,1.1645,1.1636,0.0009000000000001229,179999.9999999754,-0.00010587298594375968
3,1.1643113750000023,1.1648,1.1638,0.001000000000000112,300999.9999999663,0.0002610473794108603
4,1.1642489583333344,1.1647,1.1637,0.001000000000000112,203999.99999997718,-5.36082254352634e-05
5,1.1642035416666672,1.1647,1.1638,0.0009000000000001229,197777.77777775077,-3.900941146836618e-05
6,1.1640060833333323,1.1646,1.1634,0.0012000000000000899,224166.66666664986,-0.00016960808507090021
7,1.1639341666666647,1.1644,1.1634,0.001000000000000112,199999.99999997762,-6.178375499694075e-05
8,1.163944680555556,1.1644,1.1634,0.001000000000000112,166999.99999998132,9.033061484391258e-06
9,1.1639624583333348,1.1644,1.1634,0.001000000000000112,161999.99999998187,1.5273730853168218e-05
10,1.1640029861111116,1.1644,1.1636,0.0008000000000001339,237499.99999996024,3.481880148856917e-05
11,1.164135958333334,1.1646,1.1636,0.001000000000000112,363999.99999995925,0.00011423701125248835
12,1.1641102638888883,1.1646,1.1636,0.001000000000000112,217999.9999999756,-2.207168695523641e-05
13,1.163740416666665,1.1641,1.1633,0.0007999999999999119,233750.00000002576,-0.0003177080674366691
14,1.1637137638888884,1.1642,1.1632,0.0009999999999998899,209000.00000002302,-2.290268293072056e-05
15,1.163624180555555,1.1641,1.1629,0.0011999999999998678,161666.66666668447,-7.698055665686364e-05
16,1.1631197499999997,1.1636,1.1625,0.0010999999999998789,261818.18181821067,-0.0004334995473490726
17,1.1628249166666653,1.1634,1.1622,0.0012000000000000899,217499.9999999837,-0.00025348493423343085
18,1.1626144583333338,1.1633,1.162,0.0013000000000000789,169230.76923075898,-0.0001809888404652094
19,1.1631446666666667,1.1636,1.1625,0.0010999999999998789,233636.36363638937,0.00045604828800514753
20,1.1634043055555572,1.1639,1.1628,0.0010999999999998789,240909.09090911745,0.000223221492847093
21,1.1632690138888877,1.1638,1.1627,0.0010999999999998789,240909.09090911745,-0.0001162894670609576
22,1.1631489722222197,1.1636,1.1626,0.0009999999999998899,242000.00000002666,-0.0001031933845351096
23,1.163341583333333,1.1638,1.1628,0.0009999999999998899,232000.00000002555,0.00016559453321379075
24,1.1634507499999973,1.164,1.1629,0.0010999999999998789,215454.5454545692,9.383887606904589e-05
25,1.1635047638888885,1.1641,1.1628,0.0012999999999998568,196923.07692309862,4.642559119167434e-05
26,1.1626644722222204,1.1633,1.162,0.0013000000000000789,202307.69230768003,-0.0007222073280211753
27,1.1626945138888873,1.1632,1.1621,0.001100000000000101,173636.3636363477,2.583863821826507e-05
28,1.1630103333333313,1.1638,1.1624,0.0013999999999998458,217857.14285716685,0.00027162719069482276
29,1.1624820416666666,1.1633,1.1614,0.0019000000000000128,159473.68421052524,-0.0004542450325015882
30,1.1614251944444445,1.162,1.1609,0.0010999999999998789,223636.36363638827,-0.0009091299343488223
31,1.1613826666666676,1.16189,1.1607,0.0011900000000000244,232773.1092436927,-3.661688930147203e-05
32,1.1618003611111116,1.1624,1.1612,0.0012000000000000899,246666.66666664818,0.00035965272810804317
33,1.1619300416666682,1.1626,1.1613,0.0013000000000000789,269230.7692307529,0.00011162034364716409
34,1.161415055555555,1.1621,1.1608,0.0012999999999998568,245384.6153846424,-0.00044321610823887605
35,1.160901458333334,1.1618,1.1597,0.0020999999999999908,147619.04761904827,-0.0004422167766503771
36,1.1597333888888874,1.1603,1.1586,0.0017000000000000348,169411.7647058789,-0.00100617450005053
37,1.158906666666665,1.1595,1.1579,0.0016000000000000458,238749.99999999316,-0.0007128554115481035
38,1.1590755138888889,1.15984,1.1584,0.0014399999999998858,240277.77777779684,0.00014569527217366787
39,1.159188055555554,1.1599,1.1584,0.0014999999999998348,174666.6666666859,9.70960608835513e-05
40,1.1595794166666642,1.1601,1.159,0.0010999999999998789,271818.18181821174,0.0003376165836375801
41,1.1592105555555547,1.1599,1.1586,0.0012999999999998568,262307.6923077212,-0.00031809905023131923
42,1.1590477361111111,1.1596,1.1584,0.0011999999999998678,273333.33333336347,-0.00014045717895106436
43,1.1588500138888882,1.1595,1.1581,0.0014000000000000679,252857.1428571306,-0.0001705902320178153
44,1.15904948611111,1.1597,1.1584,0.0012999999999998568,178461.5384615581,0.00017212945578042334
45,1.1591079999999976,1.1596,1.1584,0.0011999999999998678,224166.66666669137,5.048437498892744e-05
46,1.1583875000000001,1.1592,1.1578,0.0014000000000000679,217857.1428571323,-0.000621598677601622
47,1.158226041666668,1.1588,1.1576,0.0012000000000000899,195833.33333331867,-0.0001393819713455401
48,1.1579273750000012,1.1584,1.1575,0.0009000000000001229,353333.33333328506,-0.0002578656116530716
49,1.1579278472222216,1.1584,1.1575,0.0009000000000001229,316666.66666662344,4.078167859515855e-07
50,1.15802301388889,1.1585,1.1575,0.001000000000000112,337999.99999996217,8.218704377541307e-05
51,1.1576295416666675,1.1585,1.1568,0.0017000000000000348,225294.1176470542,-0.00033977927683937793
52,1.1570988611111104,1.1575,1.1565,0.0009999999999998899,230000.00000002532,-0.00045842001819781453
53,1.15673875,1.1572,1.1561,0.001100000000000101,329999.99999996973,-0.00031121896599626056
54,1.1571269166666678,1.1576,1.1567,0.0008999999999999009,294444.44444447686,0.00033556986542367947
55,1.157321402777779,1.1579,1.1566,0.0012999999999998568,330000.0000000363,0.00016807673238768408
